GUID 2efdff7e06894b73bc8a5aa8ab6ad167
Blueprint_11_Tool_Critical
Blueprint_11_Product 47410
Blueprint_11_Build 47111

Blueprint_12_Type Furniture
Blueprint_12_Supplies 1
Blueprint_12_Supply_0_ID 66
Blueprint_12_Supply_0_Amount 1
Blueprint_12_Tool 47408
Blueprint_12_Tool_Critical
Blueprint_12_Product 47423
Blueprint_12_Build 47111

Blueprint_13_Type Furniture
Blueprint_13_Supplies 1
Blueprint_13_Supply_0_ID 66
Blueprint_13_Supply_0_Amount 1
Blueprint_13_Tool 47408
Blueprint_13_Tool_Critical
Blueprint_13_Product 47429
Blueprint_13_Build 47111

Blueprint_14_Type Furniture
Blueprint_14_Supplies 1
Blueprint_14_Supply_0_ID 66
Blueprint_14_Supply_0_Amount 1
Blueprint_14_Tool 47408
Blueprint_14_Tool_Critical
Blueprint_14_Product 47443
Blueprint_14_Build 47111

Blueprint_15_Type Furniture
Blueprint_15_Supplies 1
Blueprint_15_Supply_0_ID 42233
Blueprint_15_Supply_0_Amount 1
Blueprint_15_Tool 47408
Blueprint_15_Tool_Critical
Blueprint_15_Product 47419
Blueprint_15_Build 47101

Blueprint_16_Type Furniture
Blueprint_16_Supplies 1
Blueprint_16_Supply_0_ID 1046
Blueprint_16_Supply_0_Amount 1
Blueprint_16_Tool 47408
Blueprint_16_Tool_Critical
Blueprint_16_Product 47442
Blueprint_16_Build 47101

Blueprint_17_Type Furniture
Blueprint_17_Supplies 1
Blueprint_17_Supply_0_ID 67
Blueprint_17_Supply_0_Amount 1
Blueprint_17_Tool 47408
Blueprint_17_Tool_Critical
Blueprint_17_Product 47424
Blueprint_17_Build 27

Blueprint_18_Type Tool
Blueprint_18_Supplies 1
Blueprint_18_Supply_0_ID 67
Blueprint_18_Supply_0_Amount 1
Blueprint_18_Tool 47408
Blueprint_18_Tool_Critical
Blueprint_18_Product 47425
Blueprint_18_Build 27

Blueprint_19_Type Tool
Blueprint_19_Supplies 1
Blueprint_19_Supply_0_ID 67
Blueprint_19_Supply_0_Amount 1
Blueprint_19_Tool 47408
Blueprint_19_Tool_Critical
Blueprint_19_Product 47426
Blueprint_19_Build 27

Blueprint_20_Type Tool
Blueprint_20_Supplies 1
Blueprint_20_Supply_0_ID 67
Blueprint_20_Supply_0_Amount 1
Blueprint_20_Tool 47408
Blueprint_20_Tool_Critical
Blueprint_20_Product 47427
Blueprint_20_Build 27

Blueprint_21_Type Tool
Blueprint_21_Supplies 1
Blueprint_21_Supply_0_ID 67
Blueprint_21_Supply_0_Amount 1
Blueprint_21_Tool 47408
Blueprint_21_Tool_Critical
Blueprint_21_Product 47428
Blueprint_21_Build 27

Blueprint_22_Type Tool
Blueprint_22_Supplies 1
Blueprint_22_Supply_0_ID 41
Blueprint_22_Supply_0_Amount 1
Blueprint_22_Tool 47408
Blueprint_22_Tool_Critical
Blueprint_22_Product 47448
Blueprint_22_Build 47101

Blueprint_23_Type Tool
Blueprint_23_Supplies 1
Blueprint_23_Supply_0_ID 67
Blueprint_23_Supply_0_Amount 1
Blueprint_23_Tool 47408
Blueprint_23_Tool_Critical
Blueprint_23_Product 47449
Blueprint_23_Build 47101

Blueprint_24_Type Tool
Blueprint_24_Supplies 1
Blueprint_24_Supply_0_ID 67
Blueprint_24_Supply_0_Amount 1
Blueprint_24_Tool 47408
Blueprint_24_Tool_Critical
Blueprint_24_Product 47450
Blueprint_24_Build 47101

Blueprint_25_Type Tool
Blueprint_25_Supplies 1
Blueprint_25_Supply_0_ID 67
Blueprint_25_Supply_0_Amount 1
Blueprint_25_Tool 47408
Blueprint_25_Tool_Critical
Blueprint_25_Product 47454
Blueprint_25_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47408
Action_0_Blueprints 25
Action_0_Blueprint_0_Index 1
Action_0_Blueprint_0_Link
Action_0_Blueprint_1_Index 2
Action_0_Blueprint_1_Link
Action_0_Blueprint_2_Index 3
Action_0_Blueprint_2_Link
Action_0_Blueprint_3_Index 4
Action_0_Blueprint_3_Link
Action_0_Blueprint_4_Index 5
Action_0_Blueprint_4_Link
Action_0_Blueprint_5_Index 6
Action_0_Blueprint_5_Link
Action_0_Blueprint_6_Index 7
Action_0_Blueprint_6_Link
Action_0_Blueprint_7_Index 8
Action_0_Blueprint_7_Link
Action_0_Blueprint_8_Index 9
Action_0_Blueprint_8_Link
Action_0_Blueprint_9_Index 10
Action_0_Blueprint_9_Link
Action_0_Blueprint_10_Index 11
Action_0_Blueprint_10_Link
Action_0_Blueprint_11_Index 12
Action_0_Blueprint_11_Link
Action_0_Blueprint_12_Index 13
Action_0_Blueprint_12_Link
Action_0_Blueprint_13_Index 14
Action_0_Blueprint_13_Link
Action_0_Blueprint_14_Index 15
Action_0_Blueprint_14_Link
Action_0_Blueprint_15_Index 16
Action_0_Blueprint_15_Link
Action_0_Blueprint_16_Index 17
Action_0_Blueprint_16_Link
Action_0_Blueprint_17_Index 18
Action_0_Blueprint_17_Link
Action_0_Blueprint_18_Index 19
Action_0_Blueprint_18_Link
Action_0_Blueprint_19_Index 20
Action_0_Blueprint_19_Link
Action_0_Blueprint_20_Index 21
Action_0_Blueprint_20_Link
Action_0_Blueprint_21_Index 22
Action_0_Blueprint_21_Link
Action_0_Blueprint_22_Index 23
Action_0_Blueprint_22_Link
Action_0_Blueprint_23_Index 24
Action_0_Blueprint_23_Link
Action_0_Blueprint_24_Index 25
Action_0_Blueprint_24_Link
Action_0_Text Craft
Action_0_Tooltip Craft Halloween decorations.

Use_Auto_Icon_Measurements false
