GUID f52c20a9defa428aa34642bfddc4a11a
Blueprint_16_Supply_0_Amount 1
Blueprint_16_Supply_0_Critical
Blueprint_16_Outputs 2
Blueprint_16_Output_0_ID 48432
Blueprint_16_Output_0_Amount 1
Blueprint_16_Output_1_ID 1339
Blueprint_16_Output_1_Amount 1
Blueprint_16_Build 48315

Blueprint_17_Type Tool
Blueprint_17_Supplies 1
Blueprint_17_Supply_0_ID 48433
Blueprint_17_Supply_0_Amount 1
Blueprint_17_Supply_0_Critical
Blueprint_17_Outputs 2
Blueprint_17_Output_0_ID 48432
Blueprint_17_Output_0_Amount 1
Blueprint_17_Output_1_ID 1340
Blueprint_17_Output_1_Amount 1
Blueprint_17_Build 48315

Blueprint_18_Type Tool
Blueprint_18_Supplies 1
Blueprint_18_Supply_0_ID 48433
Blueprint_18_Supply_0_Amount 1
Blueprint_18_Supply_0_Critical
Blueprint_18_Outputs 2
Blueprint_18_Output_0_ID 48432
Blueprint_18_Output_0_Amount 1
Blueprint_18_Output_1_ID 1341
Blueprint_18_Output_1_Amount 1
Blueprint_18_Build 48315

Blueprint_19_Type Tool
Blueprint_19_Supplies 1
Blueprint_19_Supply_0_ID 48433
Blueprint_19_Supply_0_Amount 1
Blueprint_19_Supply_0_Critical
Blueprint_19_Outputs 2
Blueprint_19_Output_0_ID 48432
Blueprint_19_Output_0_Amount 1
Blueprint_19_Output_1_ID 1342
Blueprint_19_Output_1_Amount 1
Blueprint_19_Build 48315

Blueprint_20_Type Tool
Blueprint_20_Supplies 1
Blueprint_20_Supply_0_ID 48433
Blueprint_20_Supply_0_Amount 1
Blueprint_20_Supply_0_Critical
Blueprint_20_Outputs 2
Blueprint_20_Output_0_ID 48432
Blueprint_20_Output_0_Amount 1
Blueprint_20_Output_1_ID 1343
Blueprint_20_Output_1_Amount 1
Blueprint_20_Build 48315

Blueprint_21_Type Tool
Blueprint_21_Supplies 1
Blueprint_21_Supply_0_ID 48433
Blueprint_21_Supply_0_Amount 1
Blueprint_21_Supply_0_Critical
Blueprint_21_Outputs 2
Blueprint_21_Output_0_ID 48432
Blueprint_21_Output_0_Amount 1
Blueprint_21_Output_1_ID 1344
Blueprint_21_Output_1_Amount 1
Blueprint_21_Build 48315

Add_Default_Actions false

Use_Auto_Icon_Measurements false
Should_Drop_On_Death false
Bundle_Override_Path Tools/Duplicator_Ammunition
